Query,Precision at 5,Precision at 20
what articles exist which deal with tss time sharing system an operating system for ibm computers,0.4,0.1
i am interested in articles written either by prieve or udo pooch prieve b pooch u,0.6,0.15
intermediate languages used in construction of multi-targeted compilers tcoll,0.0,0.0
im interested in mechanisms for communicating between disjoint processes possibly but not exclusively in a distributed environment i would rather see descriptions of complete mechanisms with or without implementations as opposed to theoretical work on the abstract problem remote procedure calls and message-passing are examples of my interests,0.4,0.1
id like papers on design and implementation of editing interfaces window-managers command interpreters etc the essential issues are human interface design with views on improvements to user efficiency effectiveness and satisfaction,0.4,0.1
interested in articles on robotics motion planning particularly the geometric and combinatorial aspects we are not interested in the dynamics of arm motion,0.2,0.1
i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault-tolerance and techniques for understanding the correctness of these algorithms,0.6,0.35
addressing schemes for resources in networks resource addressing in network operating systems,0.4,0.1
security considerations in local networks network operating systems and distributed systems,0.4,0.15
parallel languages languages for parallel computation,0.8,0.6
setl very high level languages,0.6,0.45
portable operating systems,0.4,0.1
code optimization for space efficiency,0.6,0.2
find all discussions of optimal implementations of sort algorithms for database management applications,0.0,0.1
find all discussions of horizontal microcode optimization with special emphasis on optimization of loops and global optimization,0.2,0.15
find all descriptions of file handling in operating systems based on multiple processes and message passing,0.2,0.1
optimization of intermediate and machine code,0.4,0.2
languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction,0.0,0.15
parallel algorithms,0.6,0.3
graph theoretic algorithms applicable to sparse matrices,0.6,0.15
computational complexity intractability class-complete reductions algorithms and efficiency,0.4,0.15
i am interested in hidden-line and hidden-surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics,0.8,0.65
distributed computing structures and algorithms,0.6,0.15
applied stochastic processes,0.2,0.05
performance evaluation and modelling of computer systems,0.4,0.35
concurrency control mechanisms in operating systems,0.0,0.3
memory management aspects of operating systems,0.6,0.35
any information on packet radio networks of particular interest are algorithms for packet routing and for dealing with changes in network topography i am not interested in the hardware used in the network,0.8,0.2
number-theoretic algorithms especially involving prime number series sieves and chinese remainder theorem,0.2,0.35
articles on text formatting systems including what you see is what you get systems examples tnroff scribe bravo,0.2,0.05
id like to find articles describing the use of singular value decomposition in digital image processing applications include finding approximations to the original image and restoring images that are subject to noise an article on the subject is h andrews and c patterson outer product expansions and their uses in digital image processing american mathematical andrews h patterson c,0.2,0.05
id like to find articles describing graph algorithms that are based on the eigenvalue decomposition or singular value decomposition of the ajacency matrix for the graph im especially interested in any heuristic algorithms for graph coloring and graph isomorphism using this method,0.2,0.1
articles about the sensitivity of the eigenvalue decomposition of real matrices in particular zero-one matrices im especially interested in the separation of eigenspaces corresponding to distinct eigenvalues articles on the subject c davis and w kahn the rotation of eigenvectors by a permutation siam j numerical analysis vol 7 no 1 1970 g stewart error bounds for approximate invariant subspaces of closed linear operators siam j numerical analysis vol 8 no 4 1971 davis c kahn w stewart g,0.0,0.0
fast algorithm for context-free language recognition or parsing,0.4,0.45
articles describing the relationship between data types and concurrency eg what is the type of a process when is a synchronization attempt between two processes type correct in a message-passing system is there any notion of the types of messages ie any way to check that the sender of the message and the receiver are both treating the bit stream as some particular type,0.2,0.15
what is the type of a module i dont want the entire literature on abstract data types here but im not sure how to phrase this to avoid it im interested in questions about how one can check that a module matches contexts in which it is used,0.2,0.2
what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer-supplied definitions of operators like,0.4,0.25
list all articles dealing with data types in the following languages that are referenced frequently in papers on the above languages eg catch any languages with interesting type structures that i might have missed,0.4,0.2
computer performance evaluation techniques using pattern recognition and clustering la 70803,0.0,0.2
analysis and perception of shape by humans and computers shape descriptions shape recognition by computer two-dimensional shapes measures of circularity shape matching,0.2,0.3
texture analysis by computer digitized texture analysis texture synthesis perception of texture,0.4,0.1
the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases,0.6,0.25
the use of computer science principles eg data structures numerical methods in generating optimization eg linear programming algorithms this includes issues of the khachian russian ellipsoidal algorithm and complexity of such algorithms,0.0,0.05
the role of information retrieval in knowledge based systems ie expert systems,0.2,0.15
abstracts of articles j backus can programming be liberated from the von neumann style a functional style and its algebra of programs cacm 21 re millo r lipton a perlis letter to acm forum cacm 22 1979 629-630 backus j de millo r lipton r perlis a,0.2,0.05
algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest students t test wilcoxon and sign tests multivariate and univariate components can be included,0.6,0.3
dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems,0.4,0.3
hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc,0.4,0.2
information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co-citations the vector space model boolean search methods using inverted files feedback etc salton g,1.0,0.5
results relating parallel complexity theory both for prams and uniform circuits,0.0,0.05
algorithms for parallel computation and especially comparisons between parallel and sequential algorithms,0.8,0.4
list all articles on el1 and ecl el1 may be given as el1 i dont remember how they did it,0.2,0.05
